anio;nombre;sexo;n
1920;Aaron;M;1
1920;Abdolina;F;1
1920;Abdon;M;3
1920;Abel;M;11
1920;Abelardo;M;10
1920;Abelina;F;2
1920;Abelino;M;3
1920;Abigail;F;1
1920;Abraham;M;15
1920;Abrahan;M;1
1920;Abrelena;F;1
1920;Abristela;F;3
1920;Absalon;M;2
1920;Accidalia;F;1
1920;Acencio;M;1
1920;Ada;F;10
1920;Adalia;F;1
1920;Adan;M;9
1920;Adela;F;28
1920;Adelaida;F;14
1920;Adelina;F;13
1920;Adelino;M;1
1920;Adermo;M;1
1920;Adina;F;1
1920;Adolfo;M;27
1920;Adonai;M;1
1920;Adoracion;F;1
1920;Adoricio;M;1
1920;Adrian;M;14
1920;Adriana;F;108
1920;Adriano;M;2
1920;Afida;F;1
1920;Agapito;M;1
1920;Agles;F;1
1920;Agnes;F;1
1920;Agripano;M;1
1920;Agripina;F;6
1920;Agueda;F;4
1920;Agusta;F;1
1920;Agustin;M;19
1920;Agustina;F;12
1920;Agusto;M;1
1920;Aida;F;110
1920;Aideria;F;1
1920;Aladino;M;5
1920;Alamba;F;1
1920;Alamiro;M;11
1920;Alba;F;14
1920;Alberta;F;1
1920;Albertano;M;2
1920;Albertina;F;20
1920;Alberto;M;53
1920;Albina;F;15
1920;Albino;M;3
1920;Alcario;M;1
1920;Alcibiades;M;4
1920;Alcides;M;1
1920;Alcira;F;1
1920;Alconda;F;1
1920;Alda;F;2
1920;Aldeana;F;1
1920;Aldecira;F;1
1920;Aldemar;M;1
1920;Aldo;M;1
1920;Alejandrina;F;12
1920;Alejandrino;M;2
1920;Alejandro;M;53
1920;Alejo;M;2
1920;Alfa;F;1
1920;Alfodino;M;1
1920;Alfonso;M;32
1920;Alfredo;M;53
1920;Alia;F;1
1920;Alice;F;2
1920;Alicia;F;85
1920;Alida;F;1
1920;Alidia;F;1
1920;Alina;F;4
1920;Alira;F;1
1920;Alirio;M;1
1920;Aliro;M;6
1920;Alis;F;1
1920;Alisandro;M;1
1920;Alma;F;2
1920;Almendro;M;1
1920;Almerinda;F;2
1920;Alonso;M;3
1920;Altamira;F;1
1920;Alva;F;3
1920;Alvadina;F;1
1920;Alvanino;M;1
1920;Alvara;F;3
1920;Alvarina;F;1
1920;Alvaro;M;5
1920;Alvertina;F;1
1920;Alzamira;F;1
1920;Amable;M;1
1920;Amada;F;17
1920;Amadeo;M;5
1920;Amado;M;1
1920;Amador;M;10
1920;Amadora;F;1
1920;Amalia;F;19
1920;Amalio;M;2
1920;Aman;M;1
1920;Amanda;F;32
1920;Amandina;F;4
1920;Amaria;F;1
1920;Ambrosia;F;1
1920;Ambrosio;M;4
1920;Amelia;F;27
1920;America;F;7
1920;Amina;F;1
1920;Aminta;F;3
1920;Amiro;M;1
1920;Amistor;M;1
1920;Amneris;F;1
1920;Amos;M;1
1920;Amparo;F;2
1920;Ana;F;340
1920;Anabel;F;1
