market_code,market_name,region,position,popularity,track_id,track_name,track_href,duration_ms,explicit,artist_id,artist_name,artist_followers,artist_popularity,artist_genres,album_id,album_name,album_type,release_date,total_tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,collection_date,collection_time
AR,Argentina,LATAM,1,75,0c82YIGpQ5dCaXpTNCk4sb,Alegría,https://open.spotify.com/track/0c82YIGpQ5dCaXpTNCk4sb,165054,False,5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,5397473,81,"trap argentino,trap latino,urbano latino",3s6jmSUxBLRxzKdevnFmJS,GOTTI A,album,2024-07-04,14,0.575,0.658,9,-2.34,0,0.101,0.0463,2.24e-05,0.0627,0.884,84.273,5,2024-10-31,09:03:13
AR,Argentina,LATAM,2,74,7yrTny7FLWLbfIzsxoicWj,noviogangsta <3,https://open.spotify.com/track/7yrTny7FLWLbfIzsxoicWj,157209,True,0AqlFI0tz2DsEoJlKSIiT9,Emilia,3704541,81,pop argentino,0qLXwwUPYR7o3ZcVQFdKlQ,noviogangsta <3,single,2024-10-12,1,0.816,0.872,11,-4.27,0,0.0442,0.25,3.7e-06,0.254,0.94,128.924,4,2024-10-31,09:03:14
AR,Argentina,LATAM,3,89,0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,https://open.spotify.com/track/0Sr7ssScx54yxdM2ols7nW,224022,True,3E12tRURRvPfHz0hAMCFYc,Omar Courtz,376316,82,"trap boricua,trap latino,urbano latino",3C5uwdRE5QRoXSGPPxpDd4,PRIMERA MUSA,album,2024-09-20,17,0.56,0.681,6,-6.304,0,0.244,0.103,0.0,0.106,0.388,155.079,4,2024-10-31,09:03:15
AR,Argentina,LATAM,4,94,6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,https://open.spotify.com/track/6WatFBLVB0x077xWeoVc2k,195824,False,790FomKkXshlbRYZFtlgla,KAROL G,51524480,91,"reggaeton,reggaeton colombiano,urbano latino",5ylbxH7EqpsmHZCRuiYewS,Si Antes Te Hubiera Conocido,single,2024-06-21,1,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4,2024-10-31,09:03:16
AR,Argentina,LATAM,5,81,0SoBfYjQHvL6cuWHtPUYnq,Hoy,https://open.spotify.com/track/0SoBfYjQHvL6cuWHtPUYnq,198495,False,55ru5B05MMBunM1tvH7Di6,Valentino Merlo,218982,75,,4ENi7P1IV01E2jzbHZeKxn,Hoy,single,2024-05-22,1,0.451,0.711,11,-4.612,1,0.0426,0.24,0.0,0.154,0.661,176.161,4,2024-10-31,09:03:16
AR,Argentina,LATAM,6,76,5AkLEnorFvb7WIJOGqKYVT,Si Un Día Estás Sola | CROSSOVER #7,https://open.spotify.com/track/5AkLEnorFvb7WIJOGqKYVT,164021,False,2OhUNb01gLwygOizYvTm0e,Big One,648401,75,trap argentino,2nEAqrVGMybdrkN3gP9NGF,Si Un Día Estás Sola | CROSSOVER #7,single,2024-09-03,1,0.63,0.507,1,-4.865,1,0.0647,0.0386,0.0,0.0666,0.744,183.896,4,2024-10-31,09:03:17
AR,Argentina,LATAM,7,80,6kPCcIAGoTeRrh8qrmKa90,Piel,https://open.spotify.com/track/6kPCcIAGoTeRrh8qrmKa90,142041,True,5Y3MV9DZ0d87NnVm56qSY1,Tiago PZK,5397473,81,"trap argentino,trap latino,urbano latino",3s6jmSUxBLRxzKdevnFmJS,GOTTI A,album,2024-07-04,14,0.646,0.907,0,-1.617,1,0.0593,0.422,0.0,0.14,0.816,168.004,4,2024-10-31,09:03:18
AR,Argentina,LATAM,8,71,5MKbWaXeSQSmzmo7gPQha1,Amor de Vago,https://open.spotify.com/track/5MKbWaXeSQSmzmo7gPQha1,188423,False,1FxPMQ9A0882eNDx3ZkD6B,La T y La M,801717,70,cumbia pop,7dIwIFhUC8xNF0bICvgMX2,Amor de Vago,single,2024-08-23,1,0.65,0.507,2,-7.27,1,0.111,0.706,2.47e-06,0.0725,0.603,179.984,4,2024-10-31,09:03:19
AR,Argentina,LATAM,9,79,0EVxchTHYIgx618OrpcrdQ,AGORA,https://open.spotify.com/track/0EVxchTHYIgx618OrpcrdQ,153564,False,1DxLCyH42yaHKGK3cl5bvG,Maria Becerra,7141864,82,"pop argentino,urbano latino",07QCnsWWoXTgLuU43VfB2u,AGORA,single,2024-09-12,1,0.686,0.871,4,-2.217,0,0.0926,0.254,0.000206,0.34,0.626,169.857,4,2024-10-31,09:03:20
AR,Argentina,LATAM,10,80,4dLLdfiniBhDP9dlJQIOi4,"Perdonarte, ¿Para Qué?",https://open.spotify.com/track/4dLLdfiniBhDP9dlJQIOi4,193933,False,0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,7806801,79,"gruperas inmortales,musica mexicana,nu-cumbia,ranchera,tropical",1fXZxmn9aUIo5Zjx8zQFol,"Perdonarte, ¿Para Qué?",single,2024-05-23,1,0.672,0.702,11,-4.662,0,0.0314,0.168,0.0,0.0445,0.615,90.039,4,2024-10-31,09:03:21
AR,Argentina,LATAM,11,75,1db75lVrSgDFZI1gZh8JlV,Princesa,https://open.spotify.com/track/1db75lVrSgDFZI1gZh8JlV,166241,False,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,24088355,79,"argentine hip hop,trap argentino,trap latino,urbano latino",7rd2Pb6dBQvrzgbJU3ihpC,Princesa,single,2024-09-12,1,0.632,0.942,11,-2.665,1,0.0492,0.192,0.0,0.151,0.944,157.023,4,2024-10-31,09:03:21
AR,Argentina,LATAM,12,73,5aZ8rf2aPfZrnRWLA7bByo,Pa´Que Te Acuerdes | CROSSOVER #8,https://open.spotify.com/track/5aZ8rf2aPfZrnRWLA7bByo,172800,True,2OhUNb01gLwygOizYvTm0e,Big One,648401,75,trap argentino,6Es6kN0L82XnLAaKV02ZoC,Pa´ Que Te Acuerdes | CROSSOVER #8,single,2024-10-02,2,0.801,0.677,9,-4.804,1,0.0522,0.0604,0.0,0.0717,0.52,100.017,4,2024-10-31,09:03:22
AR,Argentina,LATAM,13,71,1TyBUtMxdmRfXhW3MmbxtQ,QUE ME FALTE TODO,https://open.spotify.com/track/1TyBUtMxdmRfXhW3MmbxtQ,165918,False,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1797634,77,"trap argentino,trap triste",3X0T1blaMiY2aev0wrbK1G,QUE NOS FALTE TODO,album,2024-02-02,11,0.731,0.855,3,-5.115,0,0.0516,0.0943,0.0,0.688,0.966,148.052,4,2024-10-31,09:03:23
AR,Argentina,LATAM,14,76,5DSMm0BZXlSvqArsTX00Ge,DOCTOR,https://open.spotify.com/track/5DSMm0BZXlSvqArsTX00Ge,144148,False,4kcQWQDK0u9AftVSpdrAgk,Luck Ra,1797634,77,"trap argentino,trap triste",3Z9VnhuHM0BmsNUVPWMd7y,DOCTOR,single,2024-08-29,1,0.651,0.762,9,-2.969,1,0.0315,0.0834,0.0,0.0701,0.721,90.989,4,2024-10-31,09:03:24
AR,Argentina,LATAM,15,68,6ViJgiKfyqfs52x2pGhuPF,Despójate Vol.2,https://open.spotify.com/track/6ViJgiKfyqfs52x2pGhuPF,240435,False,04XdCDDrPnnqidaVBTOQjt,Hernan y La Champion's Liga,129940,59,"cuarteto,cumbia pop,cumbia villera",2rIGm59XDgX2eYwiOWtFgV,Despójate Vol.2,single,2024-10-03,1,0.67,0.717,1,-6.025,0,0.0435,0.0993,0.0,0.179,0.77,135.059,3,2024-10-31,09:03:25
AR,Argentina,LATAM,16,84,42wdz3j7gstgUuhoFLCXqd,PELIGROSA,https://open.spotify.com/track/42wdz3j7gstgUuhoFLCXqd,134930,True,7CvTknweLr9feJtRGrpDBy,FloyyMenor,1048311,84,reggaeton chileno,6MikZBKCtKfPM4439yzBRz,EL COMIENZO,album,2024-08-09,7,0.763,0.519,6,-7.426,0,0.0636,0.22,6.42e-06,0.0816,0.804,100.025,4,2024-10-31,09:03:26
AR,Argentina,LATAM,17,72,2N0hVk2Ant8751xPZUjCV2,Loquita - Remix,https://open.spotify.com/track/2N0hVk2Ant8751xPZUjCV2,209846,False,2Jb9jVnCpWkXtoGznFJ6bF,ECKO,1318813,67,"argentine hip hop,trap argentino",0jhYJp2HjjXL4Qr30p8THp,Loquita (Remix),single,2024-05-15,1,0.724,0.742,7,-5.551,0,0.0593,0.208,0.0,0.283,0.785,90.038,4,2024-10-31,09:03:26
AR,Argentina,LATAM,18,86,3OJDtCdYs8QJnui708tEU3,Soltera,https://open.spotify.com/track/3OJDtCdYs8QJnui708tEU3,214642,False,0EmeFodog0BfCgMzAIvKQp,Shakira,35127033,88,"colombian pop,dance pop,latin pop,pop",0VRb8B2ls0GDEfmKiL8FWJ,Soltera,single,2024-09-25,1,0.841,0.752,2,-4.735,1,0.105,0.167,0.00046,0.949,0.67,100.076,4,2024-10-31,09:03:27
AR,Argentina,LATAM,19,76,0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),https://open.spotify.com/track/0qeIFEGRQqHoaJtLCl0U73,130880,True,7iK8PXO48WeuP03g8YR51W,Myke Towers,16972727,89,"reggaeton,trap latino,urbano latino",3pkIK8SI5mcUUjb9jNjx4H,LA PANTERA NEGRA (DELUXE),album,2024-10-17,30,0.744,0.709,6,-5.778,0,0.284,0.0501,0.0,0.0847,0.712,194.055,4,2024-10-31,09:03:28
AR,Argentina,LATAM,20,87,5QjmUqgpPQgXgg4606DqZF,UWAIE,https://open.spotify.com/track/5QjmUqgpPQgXgg4606DqZF,172427,False,3UTF2no3muGdiFXVujl94i,Kapo,262954,80,,5H7sO778w4hgr2v2600ajN,UWAIE,single,2024-08-15,1,0.705,0.783,9,-4.783,0,0.0403,0.138,0.0,0.0984,0.454,103.001,4,2024-10-31,09:03:29
AR,Argentina,LATAM,21,88,7bywjHOc0wSjGGbj04XbVi,LUNA,https://open.spotify.com/track/7bywjHOc0wSjGGbj04XbVi,196800,False,2LRoIwlKmHjgvigdNGBHNo,Feid,14446012,92,"colombian pop,pop reggaeton,reggaeton,reggaeton colombiano,trap latino,urbano latino",0lgs2Sa82lyX89nBUWyUy6,FERXXOCALIPSIS,album,2023-12-01,10,0.774,0.86,7,-2.888,0,0.13,0.131,0.0,0.116,0.446,100.019,4,2024-10-31,09:03:30
AR,Argentina,LATAM,22,80,3KeYEr9ogMBemsOfQIJmZp,Cuando Te Vi | CROSSOVER #5,https://open.spotify.com/track/3KeYEr9ogMBemsOfQIJmZp,218400,True,2OhUNb01gLwygOizYvTm0e,Big One,648401,75,trap argentino,4u5sL85dlRv7eIMJIozZl8,Cuando Te Vi | CROSSOVER #5,single,2024-06-27,1,0.81,0.767,6,-3.104,0,0.053,0.162,0.0,0.0957,0.654,99.996,4,2024-10-31,09:03:30
AR,Argentina,LATAM,23,75,2RmtEc2ZNDCzAU3vH0AbKx,Ojos Verdes,https://open.spotify.com/track/2RmtEc2ZNDCzAU3vH0AbKx,142410,False,2UZIAOlrnyZmyzt1nuXr9y,Nicki Nicole,7711432,80,"argentine hip hop,r&b argentino,trap argentino,trap latino,urbano latino",4EeOwzI5OcHYrETtQqkmQk,Ojos Verdes,single,2024-04-24,1,0.582,0.834,4,-2.654,1,0.0394,0.224,2.67e-06,0.145,0.95,167.945,4,2024-10-31,09:03:31
AR,Argentina,LATAM,24,72,3cWo162YkfLIFyB3DWbVoH,Tu Foto - En Vivo,https://open.spotify.com/track/3cWo162YkfLIFyB3DWbVoH,180385,False,7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,1239689,74,cuarteto,2zsRRXZwCOTRvF8r2m7TRv,Tu Foto,single,2024-05-16,1,0.561,0.803,11,-5.132,0,0.073,0.146,0.0,0.188,0.338,153.669,4,2024-10-31,09:03:32
AR,Argentina,LATAM,25,72,2xbH0CuDbid800YW5nMPzR,SINVERGÜENZA - con Angela Torres,https://open.spotify.com/track/2xbH0CuDbid800YW5nMPzR,217490,False,2BTS8Np1YzPQuXjgdlqsBB,Emanero,473116,71,"argentine hip hop,rap conciencia,rap underground argentino",2j4yf0X00zieL424k90UVn,SINVERGÜENZA - con Angela Torres,single,2023-12-05,4,0.764,0.738,0,-4.774,1,0.0336,0.182,0.0,0.173,0.647,93.963,4,2024-10-31,09:03:33
AR,Argentina,LATAM,26,87,6PhRhocBXP4y7NpciGmzra,Después De La 1,https://open.spotify.com/track/6PhRhocBXP4y7NpciGmzra,177600,True,1Yj5Xey7kTwvZla8sqdsdE,Cris Mj,4093373,88,"mambo chileno,trap latino,urbano chileno,urbano latino",2lIzIH2mQQ0ItgkJKefQMp,MJ,single,2024-09-12,2,0.805,0.581,6,-5.091,0,0.0601,0.0303,0.0202,0.0933,0.528,99.973,4,2024-10-31,09:03:34
AR,Argentina,LATAM,27,72,7k59eQ9b5KXWUNQIMrA7nI,Barro,https://open.spotify.com/track/7k59eQ9b5KXWUNQIMrA7nI,201052,False,1bAftSH8umNcGZ0uyV7LMg,Duki,11367985,83,"argentine hip hop,trap argentino,trap latino,trap triste,urbano latino",5dK03A4u8rzbG1XcMYCxbF,Barro,single,2024-10-17,1,0.457,0.378,4,-12.903,0,0.172,0.827,2.49e-05,0.102,0.387,85.802,4,2024-10-31,09:03:34
AR,Argentina,LATAM,28,69,1MCArCVJUgBUrBnzUoZqmq,Dimelo Mami,https://open.spotify.com/track/1MCArCVJUgBUrBnzUoZqmq,154806,False,3WMlRpW5JWuDI95TcEWt3r,Salastkbron,568725,68,pop argentino,6xKpzZVah8P8ybxXDOG4Ad,444,single,2024-06-06,5,0.83,0.782,9,-5.238,0,0.0686,0.0589,3.74e-05,0.0957,0.339,100.047,4,2024-10-31,09:03:35
AR,Argentina,LATAM,29,72,42mrOMjkQb7jRKatu0bqg4,Mil Preguntas,https://open.spotify.com/track/42mrOMjkQb7jRKatu0bqg4,166973,False,7dlkBH23ERFXxuNoMHq94Y,Q' Lokura,1239689,74,cuarteto,5BI7zRrLecwdHFZ3qzDYNR,Mil Preguntas,single,2024-04-11,1,0.641,0.907,8,-4.08,1,0.0764,0.241,0.0,0.219,0.827,76.02,4,2024-10-31,09:03:36
AR,Argentina,LATAM,30,70,4eqXTlaHeK6xkM1fRx9wR5,Conmigo Te Gustó,https://open.spotify.com/track/4eqXTlaHeK6xkM1fRx9wR5,72937,False,7yIp2QRLkQ6loIrupimiri,Pinky SD,32253,77,cumbia pop,5UecDIxoca5aq0Xko7VcuE,URIEL LOZANO / Zapada EN VIVO en UN POCO DE RUIDO!,album,2024-07-28,12,0.742,0.61,9,-9.022,1,0.0658,0.311,6.16e-06,0.0455,0.963,84.015,4,2024-10-31,09:03:37
