player_id,team,minutes_played,goals_scored,assists,passes_completed,tackles,saves,shots_on_target,distance_covered_km,interceptions
1,Team_D,33,0,0,57,3,0,0,8.4,6
2,Team_E,7,1,0,74,0,0,2,9.2,0
3,Team_C,39,2,0,56,0,5,3,5.5,0
4,Team_E,82,0,0,0,0,7,0,0,0
5,Team_E,41,0,0,47,9,0,0,9.9,3
6,Team_B,40,0,0,0,0,8,0,0,0
7,Team_C,5,0,0,68,9,4,4,7.9,8
8,Team_C,51,2,1,87,3,0,4,8.9,8
9,Team_C,25,0,0,0,0,8,0,0,0
10,Team_E,63,1,0,93,0,0,3,12.4,0
11,Team_D,58,1,0,14,0,0,1,5,0
12,Team_C,55,1,0,0,0,8,0,0,0
13,Team_E,58,0,0,0,0,8,0,0,0
14,Team_B,69,0,1,56,0,0,2,8.4,6
15,Team_D,32,0,0,83,0,4,4,9,0
16,Team_B,52,1,0,0,0,9,0,0,0
17,Team_D,21,0,0,46,8,0,3,9.3,3
18,Team_E,20,0,0,65,0,0,2,7.9,0
19,Team_A,69,0,0,98,4,0,0,7.8,7
20,Team_D,69,0,0,52,0,0,4,9.6,9
21,Team_B,3,1,0,27,0,0,4,3.5,0
22,Team_E,74,0,0,46,0,7,2,7.4,0
23,Team_D,61,0,0,95,1,0,4,9.6,1
24,Team_A,61,0,0,69,5,0,0,3.8,3
25,Team_A,23,0,0,41,3,0,1,8.6,4
26,Team_C,54,0,0,19,0,0,1,7.9,0
27,Team_C,8,0,2,0,0,9,0,0,0
28,Team_B,2,0,0,0,0,4,0,0,0
29,Team_D,30,0,0,43,7,1,1,9.3,2
30,Team_D,39,1,0,62,0,0,3,9.3,0
31,Team_C,35,0,0,0,0,4,0,0,0
32,Team_D,23,0,0,3,0,5,1,8.4,0
33,Team_D,5,0,0,49,0,5,0,10,8
34,Team_A,65,0,0,0,0,3,0,0,0
35,Team_C,83,1,0,46,0,0,3,8.3,0
36,Team_E,74,1,0,0,0,8,0,0,0
37,Team_C,3,1,0,78,5,2,0,9.4,1
38,Team_E,78,1,0,62,0,0,4,9.2,0
39,Team_A,5,0,0,0,0,9,0,0,0
40,Team_B,50,0,0,63,6,0,4,10.9,6
41,Team_D,61,0,0,0,0,2,0,0,0
42,Team_A,56,0,1,0,0,5,0,0,0
43,Team_D,65,0,0,45,7,0,0,3.3,7
44,Team_B,78,0,0,13,6,0,0,8.9,3
45,Team_B,74,0,0,56,5,0,0,10,0
46,Team_A,7,0,0,75,9,0,0,9.7,4
47,Team_B,25,0,0,91,9,0,4,10.7,8
48,Team_E,50,0,0,38,8,0,0,5.6,9
49,Team_B,44,0,1,0,0,3,0,0,0
50,Team_D,43,0,0,45,8,0,4,6.5,5
51,Team_D,4,0,1,58,7,0,2,9.1,8
52,Team_D,69,0,0,0,0,9,0,0,0
53,Team_D,25,0,0,44,7,9,4,8.7,7
54,Team_E,67,0,0,71,8,0,2,8.9,7
55,Team_C,18,0,0,5,9,0,0,10.2,5
56,Team_A,83,0,0,49,2,4,0,8.2,0
57,Team_D,19,1,0,22,0,0,4,6.4,0
58,Team_B,11,0,0,0,0,2,0,0,0
59,Team_D,46,0,0,90,6,0,0,5.9,5
60,Team_B,0,0,0,97,6,8,0,5.5,8
61,Team_B,89,0,0,45,0,0,1,5,0
62,Team_D,13,2,0,0,0,8,0,0,0
63,Team_E,63,0,0,0,0,6,0,0,0
64,Team_B,37,0,0,99,8,0,0,8.5,9
65,Team_B,36,1,0,48,0,0,1,9.4,0
66,Team_D,10,0,0,61,8,0,0,5.1,6
67,Team_B,76,0,0,0,0,8,0,0,0
68,Team_B,2,1,1,18,0,0,3,6.2,0
69,Team_D,32,0,0,29,3,7,0,5,8
70,Team_D,5,0,0,0,0,4,0,0,0
71,Team_A,49,0,0,83,6,0,0,6.8,4
72,Team_E,9,0,0,66,7,0,3,7.2,4
73,Team_E,4,0,0,39,7,4,0,5.3,8
74,Team_B,22,0,0,87,7,0,0,4.9,5
75,Team_E,9,0,0,0,0,5,0,0,0
76,Team_B,43,2,0,0,0,9,0,0,0
77,Team_A,1,1,0,0,0,9,0,0,0
78,Team_D,12,0,0,21,4,5,0,7.6,6
79,Team_D,39,0,1,52,7,0,3,9.4,9
80,Team_D,1,1,1,82,0,9,1,7.3,0
81,Team_E,83,0,0,50,0,3,3,9.7,0
82,Team_A,64,0,0,0,0,7,0,0,0
83,Team_E,62,0,0,0,0,5,0,0,0
84,Team_E,72,0,0,18,9,1,0,7.5,4
85,Team_A,16,0,0,72,0,6,3,7.6,0
86,Team_A,8,0,0,0,0,7,0,0,0
87,Team_A,74,0,0,58,2,1,1,8.2,1
88,Team_A,14,0,0,60,1,0,3,8.5,3
89,Team_D,23,1,0,0,0,5,0,0,0
90,Team_C,37,0,0,0,0,4,0,0,0
91,Team_C,34,1,0,62,0,0,4,8.2,0
92,Team_A,48,0,0,72,0,0,4,5,0
93,Team_C,68,0,0,18,8,0,0,5,5
94,Team_C,61,0,1,46,0,0,3,3.8,0
95,Team_A,59,0,0,63,1,0,2,9.4,9
96,Team_C,49,0,1,77,9,0,3,9.1,3
97,Team_E,77,0,0,0,0,7,0,0,0
98,Team_B,74,0,0,60,0,0,3,5,0
99,Team_B,8,0,0,35,3,0,0,8.1,9
100,Team_A,33,0,0,43,9,0,3,10.1,9
101,Team_D,75,0,0,63,7,0,2,8,0
102,Team_A,34,0,0,29,7,3,0,6.3,3
103,Team_D,0,0,0,8,5,0,0,3.1,7
104,Team_B,39,0,1,98,2,0,4,8.9,2
105,Team_A,63,1,0,74,7,0,1,9.9,1
106,Team_E,21,0,0,51,3,5,0,7.1,4
107,Team_C,59,0,0,42,7,0,4,9.4,9
108,Team_D,63,1,0,0,0,2,0,0,0
109,Team_C,71,0,0,0,0,7,0,0,0
110,Team_C,10,0,0,52,3,0,0,7.5,6
111,Team_A,13,0,0,98,0,0,3,6.1,0
112,Team_C,59,0,0,58,7,0,0,7.9,8
113,Team_E,29,0,0,77,5,0,0,4.3,9
114,Team_C,34,1,0,93,0,0,4,6.5,0
